copyright	zengfr	site:http://github.com/zengfr/romhack
FF9038	enemy+50	[0, 10, 20, 200, 24, 280, 400, 4C, 50, 60, 88, 90, 9C, A0, B0, C0, C4, E0, EC, F0, FD80, FF14, FF28, FF30, FF3C, FF40, FF70, FF78, FF80, FFB0, FFC0, FFC8, FFD0, FFDC, FFF0]	
FF903A	enemy+52	[0, 10, 14, 5, FFEC, FFF0, FFFB]	
FF903C	enemy+54	[0, 10, 118, 198, 1A8, 238, 360, 518, 6D0, 88, A0, B0, F910, F9A8, F9B8, FA18, FA90, FAA8, FAB8, FB38, FBC8, FBD0, FBD8, FC58, FC68, FCE8, FCF8, FD88, FE08, FE18, FEB8, FF28, FF38, FF40, FFD8, FFF8]	
FF903E	enemy+56	[0, 48, 58, 66]	
FF9040	enemy+58	[0, 1, 3, 4]	
FF9041	enemy+59	[1, 19, 2, 23, 3, 4, 5, C]	
FF9042	enemy+5A	[0]	
FF9044	enemy+5C	[0, 2, 3]	
FF9046	enemy+5E	[0, 3EE8, 3EF7, 3F48, 3F57, 4E86, 4E8D, 4EE6, 4EED, 5E2C, 5E30, 5E90, 886C, 887E, 88DE, 9930, 9937, 993E, 9997, 999E, BEEC, BEFB, BEFD, BF5B, BF5D, C23A, C248, C2A8]	
FF9048	enemy+60	[0, 11, 12, 4, 7, E, F, FF]	
FF904A	enemy+62	[0]	
FF904B	enemy+63	[0]	
FF904C	enemy+64	[0]	
FF904E	enemy+66	[0, BBE8, BCA8, BD68, BE28]	
FF9050	enemy+68	[0, 1]	
FF9051	enemy+69	[0]	
FF9052	enemy+6A	[0]	
FF9054	enemy+6C	[0]	
FF9056	enemy+6E	[0]	
FF9058	enemy+70	[0, 2, 3]	
FF905A	enemy+72	[0, 4E16, 4E26, 5DCC, 882C, 883C, 884C, BEAC]	
FF905C	enemy+74	[0, 854, A88, B3B, B4E, DA3, DD4, E05, E0B, E11, E17, E1D, E24, E2A]	
FF905E	enemy+76	[0, 3A, 5A, 66, 69, 6F, 72, 82]	
FF9060	enemy+78	[0, 2, 3]	
FF9062	enemy+7A	[0, 3E40, 4DDE, 4DE6, 4DEE, 5D84, 5D8C, 877C, 8784, 878C, 879C, 87AC, 87C4, 87CC, 87D4, 87DC, 87E4, 9888, 9890, 9898, 98C8, BE5C, BE74, BFF2, BFFA, C002, C042, C04A, C08A, C092]	
FF9064	enemy+7C	[0, 3E2, 3E3, 3E4, 3E5, 3E7, 3E8, 3E9, 3EA, 3EB, 3EC, 3ED, 3EF, 3F1, 3F3, 3F5, 3F7, 3F9, 3FB, 3FC, 3FD, 3FE, 3FF, BD2, BD3, BD4, BD5, BD6, BD7, BD8, BD9, BDA, BDB, BDC, DFC, E51]	
FF9066	enemy+7E	[0, 44, 45, 46, 47, 48, 49, 4A, 4B, 4C, 4D, 4E, 4F, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 5A, 5B, 5C, 5D, 8A, 8D, 8F, 91, 93, 95, 99, 9A]	
FF9068	enemy+80	[0, D62, D64, D66, D68, D6A, D6C, D6F, D72, D7C, D83, D8B, DA0, DA2, DA4, DFB, DFD, DFF, E01, E03, E0C, E13, E14, E1B, E1F, E22, E23, E24, E27, E29, E2A, E2B, E2D, E85, E8B]	
FF9069	enemy+81	[0]	
FF906A	enemy+82	[0, 8568]	
FF906C	enemy+84	[0, 1F, 25, 294, 2AC, 2CE, 2D0, 2D4, 2E, 2E0, 2E4, 2F1, 2FC, 30, 332, 348, 35C, 370, 382, 402, 42A]	
FF906E	enemy+86	[0, 18]	
FF9070	enemy+88	[0, 1]	
FF9071	enemy+89	[0, 1]	
FF9072	enemy+8A	[0, 2, 40, 68, 8568, 90]	
FF9074	enemy+8C	[0, 1, 2D24, 2D25, 2D3C, 2D3D, B050, B051, B055, B056]	
FF9075	enemy+8D	[96, 97, 98, 99, 9A, 9B, 9C, 9D, 9E, 9F, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, AD, AE, AF, B0, B1, B2, B3, B4]	
FF9076	enemy+8E	[0, 1, 5, 6, 8, 9, B, F900, F938, F970, F9A8, F9E0, FA18, FA50]	
FF9077	enemy+8F	[0, 1, 10, 12, 3, 5, 6, 8]	
FF9078	enemy+90	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 2, 3, 38, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F]	
FF9079	enemy+91	[0, 1, 3]	
FF907A	enemy+92	[0, 1, 2, 3, 4, 5, 6, 7]	
FF907B	enemy+93	[0, 1]	
FF907C	enemy+94	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 2, 3, 4, 5, 6, 7, 8, 8568, 9, A, B, C, D, E, F]	
FF907D	enemy+95	[6, 7]	
FF907E	enemy+96	[0, 10, 11, 12, 13, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, F]	
FF9080	enemy+98	[0, 1, 2, 3, 4, 6, 68F3, 68F5, 68FB, 68FC, 6901, 6902, 6905, 6906, 6907, 6919, 691A, 9006, 9007, 9008]	
FF9082	enemy+9A	[0, 1180, 1580, 240, 24C0, 28C0, 3240, 4580, 4CC0, 58C0, 6240, 6400, 6640, 7CC0, 8800, 8D80, 90, 9180, 9980, A580, A980, B8C0, BC00, C240, C400, C640, C800, CD80, DCC0, E8C0, F240, F400, F640, F800, FD80, FE40]	
FF9083	enemy+9B	[E1, E2, E3, E4, E5, E6, E7, E8, E9, EA, EB, EC, ED, EE, EF, F0]	
FF9084	enemy+9C	[0, 1, 2, 3, 7]	
FF9085	enemy+9D	[0, 1]	
FF9086	enemy+9E	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 2, 3, 4, 4600, 5, 6900, 6A00, 7B00, 8D00, 96C0, A2C0, A9A6, A9AC, AC40, B200, C400, D500, E700, FF00]	
FF9087	enemy+9F	[0, 1]	
FF9088	enemy+A0	[0, 1, 2]	
FF9089	enemy+A1	[0]	
FF908A	enemy+A2	[0, 1, 3300, 9900, E600]	
FF908C	enemy+A4	[0, 1]	
FF908E	enemy+A6	[0, 1900, CC00, F300]	
FF9090	enemy+A8	[0, 9, A]	
FF9091	enemy+A9	[0, 1, 2, 3, 4, 5, 9]	
FF9092	enemy+AA	[0, FF]	
FF9093	enemy+AB	[0, 1]	
FF9094	enemy+AC	[0]	
FF9096	enemy+AE	[0, 1]	
FF9097	enemy+AF	[10, 8, A, C, E]	
FF9098	enemy+B0	[0]	
FF909A	enemy+B2	[0]	
FF909C	enemy+B4	[0]	
FF909E	enemy+B6	[0]	
FF90A0	enemy+B8	[0]	
FF90A2	enemy+BA	[0]	
FF90A4	enemy+BC	[0]	
FF90A6	enemy+BE	[0]	
FF9468	weapon+ 0	[0, 1]	
